証券コード,銘柄名,市場区分,東証33業種,分野,主要インフラ製品,区分,備考,関連団体・出典,確認状況
5923,高田機工,スタンダード,金属製品,道路・橋梁,鋼橋（製作・架設）・大空間構造物・維持補修,施工兼業,関西地盤、国交省向けが多い,日本橋梁建設協会・FISCO・かぶたん,確認済
5918,瀧上工業,スタンダード,金属製品,道路・橋梁,鋼橋（設計・製作・架設）,施工兼業,橋梁専業ファブリケーター,日本橋梁建設協会・松井証券,確認済
3443,川田テクノロジーズ,プライム,金属製品,道路・橋梁,鋼橋（川田工業）・PC橋（川田建設）・鉄骨,施工兼業,長大橋に強み（明石海峡大橋等）,日本橋梁建設協会・松井証券,確認済
7102,日本車輌製造,プライム,輸送用機器,道路・橋梁|鉄道|河川・防災,鋼橋（道路橋・鉄道橋）・水門（輸送用機器・鉄構事業）,多角化,主業は鉄道車両（JR東海系）。橋梁・水門は一部門,日本橋梁建設協会・日本車輌公式・Yahoo!ファイナンス,確認済
7013,IHI,プライム,機械,道路・橋梁|河川・防災|ガス,鋼橋・水門（IHIインフラスクエア、旧IHIインフラシステム）・LNG貯蔵タンク,多角化,総合重機。2010年に栗本鐵工所の水門事業を譲受。LNGタンクはEPC（施工兼業）,日本橋梁建設協会・IHI公式,未確認
7011,三菱重工業,プライム,機械,道路・橋梁|鉄道,鋼橋（エム・エムブリッジ）・ホームドア,多角化,総合重機。橋梁・ホームドアはごく一部門,三菱重工製品情報,未確認
1871,ピーエス・コンストラクション,プライム,建設業,道路・橋梁|鉄道,PC橋・PC製品（PC製品事業）,施工兼業,旧ピーエス三菱。2023年12月に大成建設が連結子会社化、2024年7月に社名変更。上場維持,プレストレスト・コンクリート建設業協会・バフェットコード・日経,確認済
1848,富士ピー・エス,スタンダード,建設業,道路・橋梁|鉄道,PC橋・PC製品・PCまくらぎ・PC埋設床版,施工兼業,PC工法大手（福岡）。PC構造物の設計施工が主業,プレストレスト・コンクリート建設業協会・Yahoo!ファイナンス,確認済
5609,日本鋳造,スタンダード,鉄鋼,道路・橋梁,橋梁用支承・伸縮装置（橋梁部品エンジニアリング）,多角化,JFE系鋳鋼。主力は半導体装置・建機向け素形材,日本支承協会・松井証券・Yahoo!ファイナンス,確認済
6282,オイレス工業,プライム,機械,道路・橋梁,橋梁支承・免震装置・制震装置,多角化,主力は無給油軸受。免震装置で高シェア,日本支承協会・かぶたん・みんかぶ,確認済
5186,ニッタ,プライム,ゴム製品,道路・橋梁,橋梁用伸縮装置（ゴム・鋼製）・支承・ボルト落下防止キャップ,多角化,主力はベルト・ホース。橋梁製品は一部門,ニッタ製品情報・バフェットコード,確認済
5976,高周波熱錬,プライム,鉄鋼,道路・橋梁,PC鋼棒,多角化,主力はばね鋼線・誘導加熱装置,irbank,確認済
5406,神戸製鋼所,プライム,鉄鋼,道路・橋梁,PC鋼線・PC鋼より線・橋梁用ケーブル（神鋼鋼線工業）,多角化,神鋼鋼線工業（旧5660）は2026年8月28日上場廃止、同年9月1日に神戸製鋼所の完全子会社化。総合鉄鋼で当該製品は一部門,バフェットコード・BigGoファイナンス（神鋼鋼線開示）,未確認
3423,エスイー,スタンダード,金属製品,道路・橋梁,PC鋼材定着具・橋梁用ケーブル・落橋防止装置・グラウンドアンカー,専業,建設用資機材の製造販売,松井証券・Yahoo!ファイナンス,確認済
5981,東京製綱,プライム,金属製品,道路・橋梁|河川・防災,ガードケーブル・道路安全製品・PC鋼より線・落石防護網,多角化,ワイヤロープ最大手。道路安全関連製品ページあり,東京製綱製品情報・松井証券,確認済
4212,積水樹脂,プライム,化学,道路・橋梁|鉄道,車両用防護柵・歩行者用柵・道路標識・遮音壁・透明遮音板,多角化,防護柵・遮音壁で大手。東北新幹線向け透明板実績,積水樹脂製品情報・バフェットコード・松井証券,確認済
4625,アトミクス,スタンダード,化学,道路・橋梁,路面標示用塗料・カラー舗装材・コンクリート保全材,専業,路面標示材で国内トップシェア,Yahoo!ファイナンス・かぶたん・FISCO,確認済
4064,日本カーバイド工業,プライム,化学,道路・橋梁,道路標識用再帰反射シート,多角化,電子材料等が主力。フィルム・シート部門で反射シート,松井証券・Yahoo!ファイナンス,確認済
4611,大日本塗料,プライム,化学,道路・橋梁,橋梁用重防食塗料,多角化,重防食塗料で国内トップシェア（明石海峡大橋等）,日本塗料工業会・松井証券・FISCO,確認済
4615,神東塗料,スタンダード,化学,道路・橋梁,重防食塗料・防錆塗料,多角化,上場継続を確認,日本塗料工業会・松井証券・バフェットコード,確認済
1787,ナカボーテック,スタンダード,建設業,道路・橋梁|上下水道,電気防食装置・防食材（製造）＋防食工事,施工兼業,防食防さび専業トップ。公共工事が約5割,日本電気防食協会・Yahoo!ファイナンス・かぶたん,確認済
1414,ショーボンドホールディングス,プライム,建設業,道路・橋梁,コンクリート補修材・補強材（製造）＋補修工事,施工兼業,補修工事が主業だが工法・製品の製造販売も行う,ショーボンド製品サイト,未確認
4956,コニシ,プライム,化学,道路・橋梁,土木建設用接着剤・コンクリート補修材（ボンド）,多角化,接着剤最大手。土木用は一部門,コニシ製品情報,未確認
4061,デンカ,プライム,化学,道路・橋梁,特殊混和材・コンクリート補修材,多角化,総合化学。特殊混和材は一部門,デンカ製品情報,未確認
5011,ニチレキグループ,プライム,石油・石炭製品,道路・橋梁,アスファルト乳剤・改質アスファルト（道路舗装材料）,施工兼業,アスファルト乳剤で国内トップ。子会社が舗装工事,Yahoo!ファイナンス・FISCO・irbank,確認済
5268,旭コンクリート工業,スタンダード,ガラス・土石製品,道路・橋梁|上下水道,ボックスカルバート・側溝・コンクリート二次製品,専業,太平洋セメント系,全国コンクリート製品協会・松井証券・FISCO,確認済
5271,トーヨーアサノ,スタンダード,ガラス・土石製品,道路・橋梁,高強度コンクリートパイル・コンクリート二次製品,専業,基礎事業が主力（建築向けも大きい）。名証メインにも上場,全国コンクリート製品協会・松井証券・名証,確認済
5273,三谷セキサン,不明,ガラス・土石製品,道路・橋梁,コンクリートパイル・コンクリート二次製品,専業,建築向け基礎杭が大きい。市場区分は検索で未確認,全国コンクリート製品協会・みんかぶ,確認済
5282,ジオスター,スタンダード,ガラス・土石製品,道路・橋梁|上下水道|鉄道|河川・防災,シールドセグメント・ボックスカルバート・アーチカルバート・PC製品,専業,日本製鉄系。トンネル・鉄道・下水道向け,全国コンクリート製品協会・Yahoo!ファイナンス,確認済
5279,日本興業,スタンダード,ガラス・土石製品,道路・橋梁|河川・防災,側溝・護岸ブロック・景観舗装材,専業,香川本社。土木資材・エクステリア・景観資材の3セグメント,全国コンクリート製品協会・Yahoo!ファイナンス・松井証券,確認済
5284,ヤマウホールディングス,スタンダード,ガラス・土石製品,道路・橋梁|河川・防災,側溝・擁壁・ボックスカルバート・護岸/法面ブロック・水門/堰（開成工業）,施工兼業,九州拠点の持株会社。子会社開成工業が水門・堰の製造施工,全国コンクリート製品協会・Yahoo!ファイナンス・バフェットコード,確認済
5290,ベルテクスコーポレーション,スタンダード,ガラス・土石製品,道路・橋梁|上下水道|河川・防災,コンクリート二次製品（側溝・水路・ヒューム管・マンホール・パイル）・浸水対策/斜面防災製品,専業,旧ゼニス羽田HDと旧ホクコンの統合会社。一部施工も行う,全国コンクリート製品協会・日経・Yahoo!ファイナンス,確認済
5287,イトーヨーギョー,スタンダード,ガラス・土石製品,道路・橋梁|上下水道,側溝・ライン導水ブロック・マンホール・集水桝,専業,コンクリート二次製品専業,全国コンクリート製品協会・松井証券・Yahoo!ファイナンス,確認済
5288,アジアパイルホールディングス,プライム,ガラス・土石製品,道路・橋梁,基礎杭（高強度大口径パイル）,専業,ジャパンパイルの持株会社（2015年10月移行）。建築向けも大きい,松井証券・かぶたん・ジャパンパイル沿革,確認済
5233,太平洋セメント,プライム,ガラス・土石製品,道路・橋梁|上下水道,セメント・セメント系補修材（太平洋マテリアル）,多角化,セメント最大手。素材メーカーとして参考収録,太平洋セメント製品情報,未確認
5232,住友大阪セメント,プライム,ガラス・土石製品,道路・橋梁|上下水道,セメント・セメント系固化材・補修材,多角化,セメント大手。素材メーカーとして参考収録,住友大阪セメント製品情報,未確認
5401,日本製鉄,プライム,鉄鋼,道路・橋梁|上下水道|ガス|鉄道|河川・防災,鋼管杭・鋼矢板・レール（国内唯一）・水道用塗覆装鋼管・ガス導管用溶接鋼管・鋼製砂防（日鉄建材）,多角化,総合鉄鋼。インフラ向け鋼材は一部門。日鉄建材（防護柵・遮音壁・砂防）は非上場子会社,鋼管杭・鋼矢板技術協会・日本水道鋼管協会・日本製鉄製品情報,未確認
5411,JFEホールディングス,プライム,鉄鋼,道路・橋梁|上下水道|ガス|河川・防災,鋼管杭・鋼矢板・水道用鋼管・ガス用配管鋼管「ガスエース」・鋼製砂防（JFE建材）,多角化,総合鉄鋼。傘下に日本鋳鉄管。JFE建材は非上場子会社,鋼管杭・鋼矢板技術協会・日本水道鋼管協会・JFEスチール製品情報,未確認
6748,星和電機,スタンダード,電気機器,道路・橋梁,道路情報板・LED表示装置・トンネル照明,多角化,道路向け表示機器で官需が大きい。防爆照明も,松井証券・Yahoo!ファイナンス・日経,確認済
6797,名古屋電機工業,スタンダード,電気機器,道路・橋梁,道路情報板・ITS情報機器・交通管制資材,専業,道路情報LED表示で大手。名証にも上場,松井証券・バフェットコード・Yahoo!ファイナンス,確認済
5802,住友電気工業,プライム,非鉄金属,電力|鉄道|道路・橋梁,電力ケーブル・架空送電線・超高圧ケーブル接続部品・トロリ線・交通管制システム・橋梁用ケーブル,多角化,電線御三家。自動車ワイヤーハーネスが主力。日新電機（旧6641）を2023年に完全子会社化。子会社スミハツが分岐器・レール締結装置,日本電線工業会・ストライクM&Aニュース・住友電工トロリ線サイト,確認済
5801,古河電気工業,プライム,非鉄金属,電力|鉄道,電力ケーブル・架空送電線・OPGW・ケーブル接続部品（古河電工パワーシステムズ）・トロリ線,多角化,電線御三家。光ファイバに強み,日本電線工業会,確認済
5803,フジクラ,プライム,非鉄金属,電力|鉄道,電力ケーブル・架空送電線・光ファイバ複合ケーブル・鉄道用ケーブル,多角化,電線御三家。FPC・データセンター向け光が主力,日本電線工業会・Yahoo!ファイナンス,確認済
5805,SWCC,プライム,非鉄金属,電力|鉄道,電力ケーブル・架線・電線付属品・鉄道用ケーブル,多角化,旧昭和電線HD。電力ケーブルは三菱電線工業との合弁経由の部分あり,日本電線工業会・Yahoo!ファイナンス・松井証券,確認済
5333,NGK（旧日本ガイシ）,プライム,ガラス・土石製品,電力|上下水道|鉄道,電力用がいし・電車線路用がいし・NAS電池・浄水用セラミック膜（メタウォーターへ供給）,多角化,2026年4月1日に商号を「NGK株式会社」へ変更（株主総会承認済み）。がいし事業は売上の1割以下。名証プレミアにも上場,日本がいし工業会・NGK公式・日経・株予報,確認済
5922,那須電機鉄工,スタンダード,金属製品,電力,送電鉄塔・鋼管柱・架線金物・通信鉄塔,専業,電力・通信会社向け鉄塔大手,日本鉄塔協会・松井証券・Yahoo!ファイナンス,確認済
1921,巴コーポレーション,スタンダード,建設業,電力,送電鉄塔（設計製作）・立体トラス建築,施工兼業,1915年に送電鉄塔を国産化。大空間建築の建設業と兼業,日本鉄塔協会・Yahoo!ファイナンス・かぶたん,確認済
5269,日本コンクリート工業,プライム,ガラス・土石製品,電力|道路・橋梁|鉄道,配電用コンクリートポール（電柱）・電化柱・コンクリートパイル・土木製品,専業,配電用ポール最大手。パイルも大手,全国コンクリート製品協会・松井証券・QUICK,確認済
5983,イワブチ,スタンダード,金属製品,電力,架線金物・配電用金具・通信用金物,専業,電気架線金物専業,松井証券・QUICK・Yahoo!ファイナンス,確認済
6617,東光高岳,プライム,電気機器,電力,大型変圧器・開閉装置（GIS）・配電用開閉器・スマートメーター（東光東芝メーターシステムズ）,専業,東京電力系。高岳製作所と東光電気の統合会社。下水道施設業協会にも加盟,日本電機工業会・日本電気計器検定所型式承認・Yahoo!ファイナンス,確認済
6623,愛知電機,名証プレミア,電気機器,電力,柱上変圧器・産業用変圧器・地上設置型変圧器,多角化,中部電力系。名証単独上場。回転機・プリント基板にも多角化,日本電機工業会・松井証券・Yahoo!ファイナンス,確認済
6622,ダイヘン,プライム,電気機器,電力,柱上変圧器・電力用変圧器・配電機器,多角化,溶接機・産業用ロボットと兼業,日本電機工業会・日本M&Aセンターニュース,確認済
6508,明電舎,プライム,電気機器,電力|鉄道|上下水道,変電機器（変圧器・GIS・遮断器）・保護継電器・鉄道用直流き電整流器・上下水道用電気設備・セラミック平膜,多角化,重電中堅。鉄道・水処理・産業用電機も展開,日本電機工業会・日本鉄道電気技術協会・FISCO,確認済
6504,富士電機,プライム,電気機器,電力,変圧器・開閉器・遮断器・保護継電器・電力量計（富士電機メーター）,多角化,電力量計国内4グループの一角,日本電機工業会・日本電気計器検定所,未確認
6503,三菱電機,プライム,電気機器,電力|鉄道|上下水道,変圧器・GIS・遮断器・保護継電器・スマートメーター・鉄道用変電機器・ホームドア・オゾン発生装置,多角化,総合電機。インフラ向けは一部門,日本電機工業会・日本電気計器検定所型式承認,未確認
6501,日立製作所,プライム,電気機器,電力|鉄道,変圧器・GIS・HVDC・送変電システム（日立エナジー）・信号保安装置（ATC/CBTC）・ホームドア,多角化,総合電機。電力インフラは日立エナジー（海外中心）,日本電機工業会・鉄道プレス記事,未確認
6644,大崎電気工業,プライム,電気機器,電力,電力量計・スマートメーター,専業,国内首位・世界4位。第2世代スマートメーター投入,日本電気計器検定所型式承認・野村IR・FISCO,確認済
6643,戸上電機製作所,スタンダード,電気機器,電力,配電用自動開閉器・区分開閉器・高圧制御機器・配電盤,専業,「開閉器の戸上」。電力会社向け高圧制御機器が主力,日本電機工業会・松井証券・QUICK,確認済
6653,正興電機製作所,プライム,電気機器,電力|上下水道,変電用機器・配電用機器・配電線自動制御システム・上下水道向け監視制御,多角化,九州電力系。福岡証券取引所にも重複上場,正興電機公式・四季報,確認済
6994,指月電機製作所,スタンダード,電気機器,電力,電力用コンデンサ・力率改善機器・高調波抑止装置,多角化,フィルムコンデンサ首位。電力機器システム事業が好調,Yahoo!ファイナンス・かぶたん・バフェットコード,確認済
6996,ニチコン,プライム,電気機器,電力,電力・機器用コンデンサ（変電所用等）,多角化,売上構成は電子機器用52%・電力機器用14%・回路製品34%,Yahoo!ファイナンス・かぶたん,確認済
6466,TVE（旧東亜バルブエンジニアリング）,スタンダード,機械,電力,発電所用高温高圧バルブ・メンテナンス,専業,社名を「TVE」に変更。発電設備向けで送配電部材ではない点に注意。旧JASDAQ,日本バルブ工業会・Yahoo!ファイナンス,確認済
6492,岡野バルブ製造,スタンダード,機械,電力,発電用バルブ（原子力・火力）・メンテナンス,専業,発電用高温高圧バルブ最大手。発電設備向けで送配電部材ではない点に注意,日本バルブ工業会・松井証券・Yahoo!ファイナンス,確認済
6824,新コスモス電機,スタンダード,電気機器,ガス,家庭用ガス警報器（都市ガス用・LPガス用）・業務用ガス検知警報器,専業,家庭用ガス警報器で国内シェア首位（約49%）,ガス警報器工業会・松井証券・QUICK,確認済
7734,理研計器,プライム,精密機器,ガス,定置型・可搬型ガス検知警報器,専業,産業用（半導体工場向け）が主体。ガス事業者の保安用検知器にも使用,産業用ガス検知警報器工業会・松井証券・Yahoo!ファイナンス,確認済
7727,オーバル,スタンダード,精密機器,ガス,産業用流量計・都市ガス計測対応 熱式質量流量計・水素ステーション用流量計,専業,プラント向け主体。ガス事業者向け比率は不明,Yahoo!ファイナンス・オーバル製品情報,確認済
5974,中国工業,スタンダード,金属製品,ガス,家庭用LPガス容器（国内首位）・LPガスバルク貯槽・供給設備,専業,LPガス容器メーカーで唯一の上場企業,FISCO・松井証券・Yahoo!ファイナンス,確認済
6362,石井鐵工所,スタンダード,機械,ガス,LNG極低温タンク・LPG低温タンク・ガスホルダー・水素球形タンク,施工兼業,設計製作から据付保守まで一貫。不動産賃貸が収益の柱,松井証券・かぶたん・みんかぶ,確認済
7012,川崎重工業,プライム,輸送用機器,ガス|鉄道,地上式LNGタンク（東京ガス向け世界最大級を受注）・ホームドア,多角化,総合重機。LNGタンクはエネルギー事業の一部（EPC）,Yahoo!ファイナンス・かぶたん・川崎重工プレスリリース,確認済
6741,日本信号,プライム,電気機器,鉄道|道路・橋梁,信号保安装置（ATC・連動装置・踏切・転てつ機）・ホームドア・交通信号機,専業,鉄道信号3社の筆頭。駅務機器も,信号工業協会・日本鉄道車輌工業会・Yahoo!ファイナンス・かぶたん,確認済
6742,京三製作所,プライム,電気機器,鉄道|道路・橋梁,信号保安装置（ATC・連動装置・踏切）・ホームドア・道路交通信号,専業,ホームドアの主要メーカー。パワエレも,信号工業協会・日本鉄道車輌工業会・FISCO,確認済
6743,大同信号,スタンダード,電気機器,鉄道,鉄道信号保安装置（踏切・連動・ATS関連機器）,専業,鉄道信号3社の一角,信号工業協会・Yahoo!ファイナンス,確認済
6505,東洋電機製造,スタンダード,電気機器,鉄道,鉄道用電力貯蔵装置（地上設備）・集電装置・電車線関連機器,多角化,主業は鉄道車両用電機品（車両側）。産業用電機も収益柱,日本鉄道車輌工業会・松井証券・Yahoo!ファイナンス,確認済
6268,ナブテスコ,プライム,機械,鉄道,ホームドア（可動式ホーム柵）・鉄道車両用ブレーキ/ドア,多角化,自動ドア技術を応用しホームドアを製造,鉄道プレス記事,未確認
6424,高見沢サイバネティックス,スタンダード,機械,鉄道,ホームドアシステム,多角化,主業は券売機・改札機（駅務機器）。ホームドアの設計製造販売を公式サイトで確認,高見沢公式・FISCO・かぶたん,確認済
5444,大和工業,プライム,鉄鋼,鉄道,分岐器・伸縮継目・軌道用品（子会社 大和軌道製造）,多角化,電炉鉄鋼が主業。大和軌道製造は大和工業グループの軌道用品事業会社,大和工業グループ会社一覧・大和軌道製造製品情報,未確認
7821,前田工繊,プライム,繊維製品,河川・防災|道路・橋梁|ガス,ジオテキスタイル・補強土壁・大型土のう・落石防護・雨水貯留槽・ガス用PE管/継手（前田工繊産資）,専業,ソーシャルインフラ事業が主力。2025年4月に三井化学産資を子会社化し前田工繊産資に改称,ジオシンセティックス学会・Yahoo!ファイナンス・かぶたん・日経,確認済
7856,萩原工業,プライム,その他製品,河川・防災,大型土のう・ブルーシート・防災用シート（合成樹脂繊維製品）,多角化,合成樹脂製品全般が主業。防災・建設資材は一部門,日経・松井証券・Yahoo!ファイナンス,確認済
1813,不動テトラ,プライム,建設業,河川・防災,消波ブロック（テトラポッド）・根固めブロック・ブロック型枠貸与,施工兼業,土木・地盤改良工事が主業でブロック事業は一部門。消波ブロック最大手,Yahoo!ファイナンス・FISCO・かぶたん,確認済
7004,カナデビア,プライム,機械,河川・防災|上下水道|道路・橋梁|ガス,水門・ダムゲート・防潮扉・フラップゲート・鋼構造（橋梁）・水処理プラント・海水淡水化・LNGタンク,施工兼業,旧日立造船（2024年10月社名変更）。ごみ焼却発電が主力。設計から据付まで行う,ダム・堰施設技術協会・日本橋梁建設協会・松井証券・日経,確認済
